线程数,申请次数,申请时间,释放时间
1,20000,31,8
1,20000,16,10
1,20000,19,6
1,20000,23,5
1,20000,17,5
1,20000,26,8
1,20000,17,7
1,20000,21,5
1,20000,17,6
1,20000,19,6
1,20000,15,10
1,20000,12,11
1,20000,15,9
1,20000,18,4
1,20000,19,7
1,20000,17,6
1,20000,18,6
1,20000,15,7
1,20000,18,10
1,20000,17,9
1,20000,20,5
1,20000,16,7
1,20000,20,4
1,20000,13,8
1,20000,18,6
1,20000,15,12
1,20000,23,1
1,20000,15,8
1,20000,19,7
1,20000,16,11
1,20000,15,8
1,20000,20,5
1,20000,16,7
1,20000,18,7
1,20000,18,10
1,20000,21,3
1,20000,22,9
1,20000,12,12
1,20000,15,8
1,20000,16,9
1,20000,21,10
1,20000,21,5
1,20000,25,7
1,20000,26,10
1,20000,20,5
1,20000,16,9
1,20000,19,9
1,20000,16,6
1,20000,19,6
1,20000,14,8
1,20000,14,10
1,20000,21,3
1,20000,22,8
1,20000,15,8
1,20000,20,10
1,20000,16,10
1,20000,17,7
1,20000,13,11
1,20000,19,5
1,20000,19,3
1,20000,20,7
1,20000,21,9
1,20000,20,4
1,20000,15,7
1,20000,15,9
1,20000,19,6
1,20000,20,6
1,20000,14,9
1,20000,13,8
1,20000,18,6
1,20000,20,6
1,20000,15,8
1,20000,19,6
1,20000,29,7
1,20000,20,7
1,20000,40,9
1,20000,15,7
1,20000,19,6
1,20000,20,9
1,20000,20,10
1,20000,24,5
1,20000,23,8
1,20000,23,4
1,20000,22,3
1,20000,25,6
1,20000,25,9
1,20000,27,8
1,20000,25,15
1,20000,22,7
1,20000,20,8
1,20000,24,5
1,20000,21,6
1,20000,19,7
1,20000,23,3
1,20000,17,9
1,20000,20,6
1,20000,21,12
1,20000,19,11
1,20000,23,4
1,20000,19,7
2,20000,55,22
2,20000,54,19
2,20000,56,29
2,20000,56,19
2,20000,62,17
2,20000,51,29
2,20000,69,32
2,20000,65,26
2,20000,58,31
2,20000,54,21
2,20000,46,25
2,20000,63,26
2,20000,51,21
2,20000,76,28
2,20000,62,19
2,20000,55,26
2,20000,53,29
2,20000,58,15
2,20000,50,24
2,20000,59,17
2,20000,54,24
2,20000,59,16
2,20000,63,17
2,20000,51,27
2,20000,46,25
2,20000,55,29
2,20000,58,27
2,20000,48,23
2,20000,58,23
2,20000,43,24
2,20000,51,25
2,20000,50,20
2,20000,70,19
2,20000,54,27
2,20000,62,19
2,20000,63,17
2,20000,58,13
2,20000,50,23
2,20000,51,33
2,20000,59,21
2,20000,47,25
2,20000,61,12
2,20000,44,24
2,20000,50,27
2,20000,57,18
2,20000,49,27
2,20000,60,32
2,20000,61,22
2,20000,44,23
2,20000,53,20
2,20000,48,26
2,20000,45,23
2,20000,62,22
2,20000,58,20
2,20000,59,22
2,20000,49,23
2,20000,53,20
2,20000,53,24
2,20000,53,22
2,20000,58,20
2,20000,63,10
2,20000,79,36
2,20000,65,23
2,20000,53,19
2,20000,58,22
2,20000,55,19
2,20000,56,19
2,20000,54,24
2,20000,58,29
2,20000,55,18
2,20000,62,22
2,20000,39,28
2,20000,49,23
2,20000,50,22
2,20000,51,21
2,20000,39,31
2,20000,68,20
2,20000,54,24
2,20000,55,24
2,20000,54,20
2,20000,59,21
2,20000,51,27
2,20000,52,26
2,20000,57,18
2,20000,57,28
2,20000,47,23
2,20000,61,25
2,20000,60,17
2,20000,64,19
2,20000,55,24
2,20000,58,22
2,20000,59,23
2,20000,55,30
2,20000,45,27
2,20000,54,25
2,20000,68,11
2,20000,50,25
2,20000,45,23
2,20000,59,24
2,20000,44,27
3,20000,105,42
3,20000,108,38
3,20000,88,59
3,20000,107,34
3,20000,101,45
3,20000,115,53
3,20000,101,42
3,20000,109,43
3,20000,100,47
3,20000,112,44
3,20000,100,60
3,20000,105,56
3,20000,94,60
3,20000,108,65
3,20000,93,54
3,20000,94,61
3,20000,95,50
3,20000,90,54
3,20000,92,51
3,20000,96,46
3,20000,86,49
3,20000,116,54
3,20000,100,58
3,20000,95,59
3,20000,97,45
3,20000,107,49
3,20000,95,42
3,20000,109,51
3,20000,97,49
3,20000,107,42
3,20000,99,44
3,20000,121,59
3,20000,106,54
3,20000,123,52
3,20000,89,56
3,20000,105,48
3,20000,102,58
3,20000,117,47
3,20000,108,59
3,20000,109,55
3,20000,128,39
3,20000,100,54
3,20000,108,62
3,20000,120,47
3,20000,118,44
3,20000,103,50
3,20000,96,63
3,20000,102,42
3,20000,99,54
3,20000,93,55
3,20000,108,40
3,20000,102,55
3,20000,106,46
3,20000,81,52
3,20000,116,52
3,20000,109,51
3,20000,87,61
3,20000,111,47
3,20000,96,49
3,20000,83,60
3,20000,112,42
3,20000,109,47
3,20000,95,50
3,20000,94,43
3,20000,104,44
3,20000,100,46
3,20000,82,56
3,20000,106,40
3,20000,93,41
3,20000,84,50
3,20000,99,40
3,20000,99,46
3,20000,105,51
3,20000,103,46
3,20000,100,59
3,20000,102,41
3,20000,97,58
3,20000,106,46
3,20000,110,41
3,20000,102,51
3,20000,110,36
3,20000,110,56
3,20000,101,49
3,20000,107,52
3,20000,97,59
3,20000,97,54
3,20000,101,62
3,20000,101,54
3,20000,101,50
3,20000,114,39
3,20000,106,50
3,20000,89,53
3,20000,140,74
3,20000,103,58
3,20000,97,58
3,20000,112,41
3,20000,94,54
3,20000,108,53
3,20000,98,37
3,20000,103,61
4,20000,149,100
4,20000,182,91
4,20000,173,109
4,20000,176,103
4,20000,180,115
4,20000,172,95
4,20000,172,95
4,20000,183,100
4,20000,170,104
4,20000,171,100
4,20000,149,100
4,20000,161,92
4,20000,159,86
4,20000,171,92
4,20000,174,84
4,20000,163,99
4,20000,162,111
4,20000,175,99
4,20000,158,111
4,20000,160,96
4,20000,179,100
4,20000,175,102
4,20000,168,124
4,20000,195,111
4,20000,181,110
4,20000,162,102
4,20000,169,93
4,20000,162,105
4,20000,160,97
4,20000,134,106
4,20000,159,92
4,20000,160,114
4,20000,159,95
4,20000,166,113
4,20000,165,101
4,20000,175,87
4,20000,169,87
4,20000,169,100
4,20000,168,112
4,20000,154,110
4,20000,161,114
4,20000,173,92
4,20000,175,101
4,20000,171,96
4,20000,173,99
4,20000,163,102
4,20000,162,97
4,20000,158,89
4,20000,175,97
4,20000,252,119
4,20000,170,109
4,20000,177,122
4,20000,181,99
4,20000,170,99
4,20000,169,106
4,20000,151,105
4,20000,164,107
4,20000,151,105
4,20000,159,92
4,20000,153,98
4,20000,169,104
4,20000,156,93
4,20000,179,93
4,20000,168,112
4,20000,179,83
4,20000,163,105
4,20000,179,90
4,20000,144,113
4,20000,170,112
4,20000,174,113
4,20000,178,115
4,20000,186,114
4,20000,180,98
4,20000,197,82
4,20000,172,104
